,scan_type,scan_time,snr (dB),drift (Hz),drift_ppm(ppm),grad_perf(G/cm/ms),coil_type,error_temp (°C),sys_temp (°C),cyro_boiloff(liters/hour),rf_power (%),grad_temp (°C),grad_current (A),x_axis_pos (mm),y_axis_pos (mm),z_axis_pos (mm),preds
10,Wrist,665,40.17124506,0.007955743,7955.743136,37.15064166,Wrist Coil,35.47607823,35.76431862,3.390271279,51.84907213,37.72233066,20,102.4621269,-144.0029099,13.92336927,No Error
11,Abdomen,549,41.28550385,0.019737651,19737.65107,36.45261397,Abdomen Coil,34.31962816,34.13976035,5.081924777,56.45857974,33.3785296,66,151.7104149,-191.5624489,131.3988785,No Error
12,Shoulder,594,42.40900582,0.014680112,14680.11228,47.47393186,Shoulder Coil,34.80973525,34.45575932,5.321611968,49.89690837,35.89367656,67,177.2040312,-9.394008185,-180.8340203,No Error
13,Abdomen,195,42.64031595,0.005857002,5857.001578,25.47706415,Abdomen Coil,35.2159623,35.56221493,5.555504562,51.33465622,35.62147845,60,-155.3282183,44.49640102,-182.6866625,No Error
14,Pelvis,526,39.84144966,0.008728462,8728.462444,48.87379819,Pelvis Coil,35.30236295,35.69851642,5.294996945,56.29242897,35.09045134,40,91.26953113,-75.77505614,177.4238252,No Error
15,Wrist,131,42.06922638,0.018397627,18397.62696,41.47203304,Wrist Coil,34.75050053,34.80387945,5.343390381,55.222735,31.55069457,54,-126.1514864,-14.47841726,-143.1439337,No Error
16,Wrist,227,43.06043445,0.007343534,7343.534374,46.87803841,Wrist Coil,34.48923651,34.83381985,3.635828384,52.14987528,33.87032929,66,-2.535525934,147.1402771,-86.49501166,No Error
17,Abdomen,162,37.45008939,0.016845986,16845.98643,42.731803,Abdomen Coil,34.98873382,35.24237659,3.230947296,44.57076315,32.97389864,48,135.8031971,175.4466092,-130.9499234,No Error
18,Foot,646,40.34968005,0.008958432,8958.432032,36.56516488,Foot Coil,34.77712558,34.29320933,4.850496162,50.65657975,34.74947055,66,-195.9718692,-145.0035056,-79.2105227,No Error
19,Knee,599,39.75115107,0.015751555,15751.55529,22.30909073,Knee Coil,35.28359804,35.38858305,3.742557151,51.60691736,32.10342357,53,-33.59404758,-156.5914166,12.20118309,No Error
20,Chest,365,39.75094413,0.011616206,11616.20648,34.46561703,Chest Coil,34.15029212,34.53047549,4.206645636,51.50685947,36.16355702,20,125.1009879,-40.690815,39.8899908,No Error
21,Pelvis,511,42.61397549,0.018952585,18952.58512,39.57698694,Pelvis Coil,35.269785,35.20842,6.104176441,55.33940424,36.24075377,38,0.038276351,97.39643307,-44.00860669,No Error
22,Knee,705,42.90878562,0.010587416,10587.41648,22.81909708,Knee Coil,34.51726596,34.62420126,3.848988189,57.31466235,34.46499747,27,-93.26967405,72.13066366,-27.1912262,No Error
23,Hand,679,44.47997119,0.015338399,15338.39896,33.08856929,Hand Coil,35.29369795,34.87989262,5.740983688,52.63518464,35.46064267,21,-52.04152065,-187.4728938,88.86247761,No Error
24,Wrist,205,39.31076072,0.010230549,10230.54937,37.59449966,Wrist Coil,34.82847977,34.47236268,5.391212429,51.25148804,33.74431446,48,-167.1787988,109.7906868,118.6025374,No Error
25,Head,475,35.23871627,0.007407549,7407.54858,41.97693545,Head Coil,34.61132112,34.76069846,5.509431902,46.55182955,34.88413003,33,88.84525172,-62.8346672,-120.0744788,No Error
26,Hand,257,40.64701258,0.008169484,8169.483792,25.56794675,Hand Coil,34.79634479,35.27942649,6.295727086,50.52825629,35.80959409,43,192.4213237,43.65645009,-186.9443845,No Error
27,Abdomen,168,40.43457571,0.012107032,12107.0322,25.90965181,Abdomen Coil,34.76466385,34.34313741,4.517771851,44.31629528,31.87188186,33,-171.6374647,68.49358011,-35.62089127,No Error
28,Pelvis,402,41.91102493,0.006583916,6583.916136,25.36567993,Pelvis Coil,35.23609412,34.8316565,5.123897891,42.76820958,34.57168914,69,-188.6702484,191.952274,-48.62568432,No Error
29,Chest,151,40.65974428,0.017167072,17167.07239,32.13238649,Chest Coil,34.75472172,34.81851135,4.488507397,47.59908429,36.58424901,67,13.43914753,165.4035948,-3.545202701,No Error
30,Pelvis,662,42.40574091,0.012303176,12303.17627,41.18557814,Pelvis Coil,34.42981031,34.85894816,3.255871636,50.34700626,37.54444622,46,137.9150188,159.5781437,94.88474839,No Error
31,Spine,683,44.94560507,0.006440327,6440.327257,37.88355213,Spine Coil,34.315856,33.8650511,4.962911119,53.91276827,32.19775118,58,-57.80397216,196.401764,-31.39219205,No Error
32,Head,203,41.40752946,0.008185374,8185.374318,31.52797949,Head Coil,34.06426909,34.24367868,6.379581082,53.50945314,37.15329623,63,167.1631554,69.41729946,85.55560987,No Error
33,Shoulder,458,40.91029872,0.006534879,6534.878783,27.5949075,Shoulder Coil,34.07995616,34.24384177,4.695895098,42.15968298,36.26619979,35,24.25371625,-41.13523263,-140.1171044,No Error
34,Wrist,141,42.21998832,0.012716959,12716.95932,43.54684135,Wrist Coil,34.62278337,34.95629245,4.697161426,51.87105076,33.70014294,50,53.84027346,75.68442825,-119.6088731,No Error
35,Head,619,41.68080428,0.016817901,16817.90067,21.18288883,Head Coil,34.36988323,34.21687164,3.306743327,50.6547071,35.12433929,62,-4.77361045,56.08235815,28.75332721,No Error
36,Elbow,600,40.6393261,0.008533815,8533.815266,25.07732111,Elbow Coil,35.3028761,35.54824487,4.860782674,49.22093627,36.27291455,53,105.6685548,52.00345998,-199.4959694,No Error
37,Foot,646,43.47429453,0.016046866,16046.86602,27.93131955,Foot Coil,35.18973302,34.77715327,5.636093061,41.05243426,34.8811119,26,-168.7671077,-93.1676337,141.3929695,No Error
38,Elbow,694,35.52716308,0.00529417,5294.169707,12.09256183,Elbow Coil,34.01982813,33.78798276,5.172383636,56.66626173,35.38062381,58,-83.58605959,156.9955429,153.8345724,7
39,Spine,706,41.88152649,0.014212243,14212.2428,28.82112457,Spine Coil,34.41294995,34.38432797,5.546278101,57.67715918,36.25034957,70,-106.5555048,-61.86246993,-174.3142919,No Error
40,Spine,181,36.22509082,0.01924281,19242.80951,37.54697852,Spine Coil,34.92098604,35.01542932,4.080223478,41.874375,35.9231235,21,108.7600903,-174.2203205,-64.66225905,No Error
41,Head,228,37.62608106,0.011492526,11492.5263,31.21808588,Head Coil,34.11743044,34.50155077,3.938081858,54.47793916,36.69248919,31,93.90269942,-22.07788782,185.3414901,No Error
42,Knee,357,38.76677752,0.015624195,15624.1948,33.33100441,Knee Coil,34.49756745,34.97233254,4.35607054,45.13247231,35.6211142,57,122.6323007,112.0194864,-37.7744529,No Error
43,Angio,204,35.7284863,0.01980759,19807.59027,29.11014322,Angio Coil,34.81142946,34.85381336,6.827816991,45.70971658,35.82427061,65,124.4554597,-73.75044785,-122.8427387,No Error
44,Wrist,264,44.65545874,0.018116505,18116.50454,33.00607643,Wrist Coil,35.49163258,35.296773,4.215744282,53.61442343,33.82685514,25,-198.5881053,-188.2587281,-49.21614093,No Error
45,Spine,499,42.75295392,0.014485185,14485.18534,28.56813472,Spine Coil,35.17703519,35.09831789,4.730354511,48.71241407,32.29334458,67,-37.90348821,-196.9252051,106.7750085,No Error
46,Pelvis,617,42.87899975,0.005831323,5831.323063,35.11386613,Pelvis Coil,35.08062988,35.48848991,5.519727201,47.54592965,34.54715359,30,165.2647582,31.76364412,189.6189994,No Error
47,Abdomen,529,37.85072242,0.019176856,19176.85557,24.47203903,Abdomen Coil,34.72159085,34.89794041,5.240964798,59.65721764,31.21565844,34,-38.84432794,-158.3259172,-161.4313635,No Error
48,Hand,174,37.6159818,0.005502374,5502.374491,47.73084614,Hand Coil,34.32398048,34.6974048,6.690735873,54.46726895,33.65092777,67,-9.536854008,-12.86834214,40.09254419,No Error
49,Angio,580,43.3900043,0.016917092,16917.09202,36.13158745,Angio Coil,34.42506688,34.30099468,5.098413856,40.00113104,36.70502263,70,-64.40017718,-182.9139673,114.5253686,No Error
50,Elbow,464,42.51884452,0.011350864,11350.86423,32.97343126,Elbow Coil,34.2226531,33.80639022,4.39373637,46.06727879,36.54471426,58,-155.8384326,-182.6091851,-122.6352591,No Error
51,Pelvis,534,35.89247132,0.01137353,11373.53008,44.04457409,Pelvis Coil,34.91180179,34.66744014,17.79763892,52.57888245,32.29403937,36,85.90558295,-61.39741815,129.8899864,111
52,Abdomen,662,37.93766886,0.017482678,17482.67816,32.33558149,Abdomen Coil,34.99992081,34.91902384,2.681153936,55.06077789,39.69682888,62,142.1254549,-173.7816719,-51.29670815,No Error
53,Elbow,255,41.59129522,0.014548024,14548.02359,34.88542277,Elbow Coil,35.44033603,35.19443907,6.631870499,45.27924858,30.38494297,64,90.41833774,15.68810196,-32.96030713,No Error
54,Shoulder,432,38.7168652,0.018858986,18858.98555,38.51479696,Shoulder Coil,34.95923043,35.12198981,4.391294737,50.55283533,35.27694549,41,196.1324759,197.1144943,-16.54260414,No Error
55,Pelvis,226,38.30181382,0.005613023,5613.022994,25.15246887,Pelvis Coil,34.87066268,35.07649484,4.820009443,49.4774847,39.80381963,23,124.5112043,98.20042238,71.88268668,No Error
56,Chest,273,44.29512067,0.015814228,15814.22827,40.84507971,Chest Coil,34.29948547,34.52138435,4.973965018,46.76071123,33.77338989,42,45.30366768,5.48151517,-190.6498906,No Error
57,Foot,487,40.77681708,0.017810921,17810.92142,28.48854261,Foot Coil,34.93541468,35.07220115,2.941731282,50.23765643,33.71525108,24,-172.8143135,-193.7789617,141.7212888,No Error
58,Wrist,231,37.51422569,0.008592187,8592.187217,36.60908716,Wrist Coil,35.20591111,35.22549611,5.483683824,58.58039448,34.78691015,67,47.61542728,77.40535608,-94.38522754,No Error
59,Angio,585,40.94509736,0.014035327,14035.32679,41.46473791,Angio Coil,34.07616515,34.29052722,6.636566496,48.80897129,35.38625975,36,181.8097135,57.84823714,-36.51936209,No Error
60,Head,247,39.04906348,0.008955366,8955.365722,30.50609467,Head Coil,35.4484516,35.25770869,6.087144102,50.46772439,34.29174147,27,70.66181745,-180.8183205,-167.8375119,No Error
61,Spine,203,44.26132637,0.011339098,11339.09819,22.12155543,Spine Coil,35.28968302,35.3911254,4.01271254,37.43279858,37.15902666,45,-179.3748624,26.68298843,-196.9132669,No Error
62,Elbow,357,38.16766571,0.019290161,19290.16138,26.61551534,Elbow Coil,34.66379418,34.64693895,6.887873663,44.40324678,34.45639286,21,-174.6674633,197.5094999,-163.9634813,No Error
63,Elbow,501,44.11820833,0.013040547,13040.54654,44.72474141,Elbow Coil,35.27140931,35.04633593,4.325569515,49.73214815,32.19024744,33,-67.9255997,41.74026921,1.237996197,No Error
64,Wrist,597,38.37841288,0.011164328,11164.32842,37.49921915,Wrist Coil,34.1386934,33.74652825,4.19913873,43.5116549,37.28884312,21,-121.4232805,63.85388765,154.1117071,No Error
65,Foot,206,40.88104586,0.017537558,17537.55811,38.09981328,Foot Coil,34.54050614,34.6621295,5.693634901,53.43762459,31.81509945,29,-165.7186505,-184.4227385,27.37850701,No Error
66,Abdomen,430,37.20915725,0.018411461,18411.4608,34.84264165,Abdomen Coil,34.06548027,34.25430435,4.623540136,54.33666098,36.37071159,29,89.21702788,-123.6980125,-50.73957477,No Error
67,Elbow,312,38.51603844,0.00652062,6520.620101,46.37915312,Elbow Coil,34.73477813,35.03282009,5.574941912,45.20216874,35.70497761,28,166.0834077,94.7257651,130.2424677,No Error
68,Spine,304,39.1041701,0.019274922,19274.922,46.98855123,Spine Coil,35.20196113,35.64455942,5.351115208,55.79867308,36.14261863,68,-34.96712543,-197.7449555,28.29903415,No Error
69,Pelvis,601,35.70990444,0.007166648,7166.648323,46.01605763,Pelvis Coil,34.84745662,35.00029445,5.929410235,58.76338918,34.44922834,69,-84.57145004,15.99804492,-125.1233772,No Error
70,Wrist,475,41.38449099,0.008863966,8863.965782,49.58130531,Wrist Coil,34.66958483,34.32694863,5.273802949,57.90874997,37.64446926,63,-67.06473159,100.8335575,-24.33272607,No Error
71,Angio,689,44.64076236,0.009947889,9947.888948,42.48788656,Angio Coil,35.06817117,35.41264614,5.585313694,49.21680984,31.22892069,69,-89.19403093,131.4875003,-108.2138861,No Error
72,Wrist,596,36.2185789,0.009289552,9289.552367,37.36287607,Wrist Coil,34.23047154,34.27507842,4.567182833,50.59431229,33.29114399,47,-13.95002155,0.239303968,144.1129737,No Error
73,Abdomen,536,41.68774195,0.01115869,11158.69046,37.13498028,Abdomen Coil,34.23832636,34.17200214,4.22042493,53.51970758,38.92246733,43,-12.72057016,72.42327455,127.1652075,No Error
74,Spine,680,42.00075582,0.007367365,7367.364762,42.64392229,Spine Coil,34.52196567,34.40809339,3.790193834,51.13732676,34.19078946,43,-47.82377647,1.664516116,-179.7268837,No Error
75,Elbow,200,43.15117231,0.019929052,19929.05176,40.70109,Elbow Coil,35.15446244,35.55932257,6.077692972,48.5316421,38.96564991,25,-160.0034688,-170.5585618,67.31105092,No Error
76,Chest,634,43.48373117,0.019228838,19228.83786,49.33298834,Chest Coil,34.76440679,35.12566226,6.097409367,44.84042722,36.54389521,70,-138.686977,-34.55468927,135.3540402,No Error
77,Foot,388,39.84366691,0.014299868,14299.86757,34.51408089,Foot Coil,34.77732084,35.22521268,5.469264459,41.88872006,35.09647587,43,-28.35115801,-172.6058845,83.91328628,No Error
78,Abdomen,307,40.1763153,0.005616303,5616.302808,29.65582952,Abdomen Coil,34.42139161,34.30687422,5.834890838,48.57706421,30.6073479,45,96.83897689,74.6749257,23.99142265,No Error
79,Wrist,573,37.17134937,0.007522916,7522.916114,45.33478029,Wrist Coil,34.44863223,34.42483059,5.37935079,46.35777593,34.57295188,43,73.04538975,159.125183,157.5850576,No Error
80,Foot,136,38.32687282,0.014954405,14954.40484,29.35449938,Foot Coil,34.11999006,33.98790455,5.052395223,44.314645,32.23301887,69,47.70109224,19.21788252,-43.78543151,No Error
81,Elbow,320,35.20380881,0.040452355,8090.471006,33.04702369,Elbow Coil,34.2502728,34.20901025,4.841562621,36.76299893,36.96950363,46,-45.15731811,-21.39694135,-98.36596276,102
82,Pelvis,151,44.16191073,0.007630922,7630.921808,28.59373914,Pelvis Coil,34.7362364,35.14156882,4.733875389,44.25440428,36.30774293,32,7.440613421,-51.63837221,-137.0203656,No Error
83,Shoulder,431,44.38513176,0.014966475,14966.47537,45.65997684,Shoulder Coil,34.05534029,33.96937817,5.014037089,55.06558662,32.59693034,59,99.69695311,183.1835829,-33.41466174,No Error
84,Pelvis,236,38.84010747,0.017020187,17020.18673,40.33771693,Pelvis Coil,35.23025372,35.2065557,3.736191843,45.20728853,34.17577056,47,-145.0502608,-85.79186975,1.768677868,No Error
85,Foot,473,38.08787911,0.005658017,5658.016896,35.76293392,Foot Coil,34.81969552,34.70418179,5.578074971,50.64944346,35.17253572,67,-193.2946496,126.2092033,12.49503875,No Error
86,Wrist,388,36.30800242,0.013044094,13044.09384,40.45467389,Wrist Coil,35.11412443,35.27817203,5.918114844,46.63935417,37.12024587,52,26.02115469,-136.8271027,117.8017103,No Error
87,Knee,433,41.24247239,0.016908955,16908.95527,23.91820528,Knee Coil,34.51732633,34.98345393,3.834304855,48.49454719,37.33645769,59,10.99562864,116.280031,-79.55317871,7
88,Foot,426,38.69687521,0.007777407,7777.406763,25.15869911,Foot Coil,34.71158149,34.53668854,5.473653638,49.90386997,37.62767333,21,-68.09062239,-106.1814407,-161.1981917,No Error
89,Head,151,35.98140133,0.013529109,13529.10866,13.72921137,Head Coil,34.58403706,34.57690709,4.657388131,48.72317992,32.34740644,21,86.21338905,143.6298126,-74.20321446,7
90,Angio,243,41.37820456,0.019437725,19437.72484,27.66188287,Angio Coil,34.8406577,35.08334499,3.909237149,55.30085103,35.35357468,69,-140.2829371,100.8402537,66.59079571,No Error
91,Angio,705,38.63714684,0.013590571,13590.57094,41.66057943,Angio Coil,34.70636063,34.92712559,3.875378011,47.32767814,33.39420885,53,-134.1946109,167.3784031,96.47673166,No Error
92,Pelvis,147,44.1088129,0.009182811,9182.810935,30.89864002,Pelvis Coil,34.2771443,34.343734,2.918484948,51.93918899,35.04278078,69,65.2756625,161.7001997,-184.8450411,No Error
93,Chest,236,43.0960803,0.016041614,16041.61401,25.02388179,Chest Coil,34.61722151,34.57228967,5.483958514,57.37661606,33.63042044,64,-111.6779524,-59.03202469,-168.104098,No Error
94,Chest,331,42.39352277,0.017781793,17781.79287,30.33420635,Chest Coil,35.06200557,34.6188106,7.370324174,53.65751854,36.26578378,24,-10.87733107,13.94389738,-199.163637,No Error
95,Chest,457,40.87478816,0.019125396,19125.3962,41.94484885,Chest Coil,34.62335234,34.55993406,5.613250744,39.99087267,37.25951655,62,-159.3631154,105.9915509,76.86078875,No Error
96,Angio,414,38.78557972,0.016539776,16539.7764,40.78284333,Angio Coil,34.48018332,34.27630963,4.711579855,50.07471065,34.24517764,24,134.7222501,155.8648952,-5.14700754,No Error
97,Head,170,37.49229073,0.012236001,12236.00149,27.57081339,Head Coil,34.43523837,34.68214103,4.79929241,40.48265074,36.18333736,54,40.81750488,-161.380624,-125.7916694,No Error
98,Abdomen,427,42.15273907,0.010987888,10987.88801,42.30860411,Abdomen Coil,34.77705883,34.70100154,4.777402244,53.01642581,35.79148463,64,-173.8914755,-80.59834467,-153.2109913,No Error
99,Pelvis,604,35.26817844,0.00814392,8143.919838,29.38296804,Pelvis Coil,34.33624764,34.42262526,4.153154125,50.79877106,34.91824508,69,193.28158,121.6675462,161.0899615,No Error
100,Foot,648,36.64469029,0.006160317,6160.31683,21.13120386,Foot Coil,34.87701326,34.94482458,3.425500095,39.3680183,33.23422962,23,99.29736792,184.3591364,-17.29881255,No Error
101,Wrist,225,35.24121746,0.017894968,17894.96761,41.81976985,Wrist Coil,34.95048546,34.5030419,4.054497174,42.17404545,36.46681432,67,97.80957006,-1.090381237,-180.4685341,No Error
102,Abdomen,467,38.56826235,0.007635501,7635.50051,39.3204188,Abdomen Coil,34.97451635,34.9166267,6.087117545,48.96491512,36.03616177,65,35.21926725,32.33963376,46.46955931,No Error
103,Hand,565,43.55472916,0.015106414,15106.41433,22.28513194,Hand Coil,34.63865388,34.18042382,4.342153869,50.38121568,35.51983501,60,33.8035404,139.6044534,-154.7107651,No Error
104,Head,533,37.70572367,0.012358364,12358.36421,22.80024852,Head Coil,34.77366707,34.40094954,5.464088548,48.54863232,38.23869306,20,-193.0731048,-176.3116904,-113.2055252,No Error
105,Pelvis,644,39.48819692,0.00503271,5032.710282,32.61579135,Pelvis Coil,34.64323064,34.89405266,3.173508394,50.10791738,34.56758953,28,18.59946629,-57.5974755,171.7011805,No Error
106,Foot,251,38.06061361,0.00526691,5266.909695,31.95776959,Foot Coil,34.5265606,34.41520066,5.101859946,46.39530614,33.78869701,51,-154.2176191,98.5766571,84.20601887,No Error
107,Angio,255,41.62202277,0.018605105,18605.10491,23.80391734,Angio Coil,34.12716837,33.97408735,5.11303985,57.97687969,33.23785419,53,104.3866765,-34.22279901,34.66106966,No Error
108,Abdomen,556,37.15495862,0.014682801,14682.80095,24.43488653,Abdomen Coil,35.16488016,35.39191693,5.154532593,50.5694671,35.77482571,53,3.032384724,-129.5090911,0.604552011,No Error
109,Foot,433,35.64317988,0.045578027,9115.605403,20.96767543,Foot Coil,35.28885832,35.17774453,6.472032866,49.01097844,34.69020946,54,39.49325634,96.54649147,126.4448913,102
110,Shoulder,357,41.36554187,0.009976925,9976.924925,40.74788354,Shoulder Coil,35.22826586,35.27155523,5.116099311,51.69467375,36.08976696,45,180.1897292,68.92959514,100.2187875,No Error
111,Elbow,495,43.40988828,0.0137161,13716.10017,32.04463141,Elbow Coil,34.00863131,34.21051861,6.304535401,50.34383376,30.80367426,70,-94.41603998,109.8817064,1.095689368,No Error
112,Knee,198,37.67290384,0.013801467,13801.46666,34.08658186,Knee Coil,34.13417312,34.0593252,4.978578445,56.10528367,37.24745043,52,88.04811355,-88.81093128,4.015489765,No Error
113,Foot,415,39.45455492,0.012447854,12447.85383,37.18620053,Foot Coil,34.3719605,34.81983671,3.529869566,54.39926869,33.59572639,21,35.94204279,36.27133216,-103.3377299,No Error
114,Elbow,604,44.07149763,0.019855831,19855.83064,36.3995876,Elbow Coil,34.43314776,34.2070504,13.59954486,45.17160034,35.29764486,35,36.11023086,-155.2850727,-30.34645853,111
115,Shoulder,707,41.76512565,0.058914268,11782.85369,41.56976,Shoulder Coil,34.96749105,35.45479677,6.15529509,51.22400972,37.67354169,43,-116.0536686,196.0654563,58.82811524,102
116,Foot,304,37.40641669,0.011157504,11157.50427,36.47304775,Foot Coil,34.59851193,34.22894199,5.418606457,55.60400038,34.5808806,29,78.62480823,-75.46950424,-172.2188335,No Error
117,Shoulder,374,44.68289398,0.018130472,18130.47245,43.25962612,Shoulder Coil,34.73814682,34.64412527,5.734577397,57.2546646,35.11134483,22,96.58831332,-24.57294731,179.0523454,No Error
118,Head,124,42.45817885,0.016697942,16697.94151,37.28013795,Head Coil,35.29712503,34.97677544,5.008406626,61.23754199,37.83774392,65,190.7453978,-127.864757,-23.80986956,No Error
119,Abdomen,588,42.99828835,0.008507343,8507.342982,40.34189088,Abdomen Coil,34.14297141,34.14694729,5.481838117,45.78549318,35.4807851,67,-106.7776385,-18.60276505,195.3215146,No Error
120,Hand,570,41.52448703,0.008673985,8673.984651,29.55002071,Hand Coil,34.35338178,34.73061774,5.506541162,55.87439323,32.34573845,41,17.63696056,-190.6234771,-94.33455507,No Error
121,Abdomen,324,41.92027303,0.011302573,11302.57337,31.88349907,Abdomen Coil,34.72312843,34.31970264,4.463736372,49.16587855,36.92213067,20,109.5873966,-19.67737566,99.03767025,No Error
122,Shoulder,145,35.82765096,0.005535678,5535.678403,27.80641639,Shoulder Coil,34.9019858,35.17610863,5.42274022,50.14340583,32.33504108,36,-163.6434196,38.60086091,81.58713433,No Error
123,Elbow,171,37.08606643,0.00831926,8319.260333,45.86842342,Elbow Coil,35.35504244,35.75256507,4.964619211,60.6024294,36.14833679,69,170.3461902,-46.23025063,15.85465466,No Error
124,Spine,691,41.93519543,0.015689923,15689.9225,40.73385049,Spine Coil,34.99075184,35.43163157,5.492793947,49.47235009,34.93134363,27,199.732522,-85.9136005,-50.36728921,No Error
125,Shoulder,459,40.64753359,0.06337365,12674.72993,21.17273105,Shoulder Coil,34.59891711,34.99921397,4.778882038,48.14649788,35.73382557,39,20.48975772,151.8351262,-95.2989065,102
126,Angio,280,36.45492299,0.01822563,18225.62955,23.67751243,Angio Coil,34.02504873,33.64986011,6.24349488,54.35906225,33.99775276,27,18.74369303,194.4541873,-37.80551676,No Error
127,Elbow,466,38.60971969,0.01992195,19921.95026,31.90909156,Elbow Coil,35.11328895,35.52073105,5.48810134,51.99457249,34.04756237,37,-104.2865358,-199.0769357,-56.81020963,No Error
128,Foot,318,35.25516189,0.00972311,9723.110304,27.83737066,Foot Coil,34.15372693,33.92916074,5.902272932,37.82246891,31.54400278,41,74.0654042,-35.84337362,-60.63115776,No Error
129,Pelvis,619,41.38034326,0.015375266,15375.26557,42.71844866,Pelvis Coil,34.07625515,33.91455891,5.428603573,52.39430975,31.36158886,70,89.52101911,8.743298009,178.9285694,No Error
130,Abdomen,224,44.07829249,0.063573119,12714.62378,43.40633601,Abdomen Coil,34.18752161,34.48393157,5.847166549,56.9311913,37.33629924,41,58.4909418,43.88282361,-185.031556,102
131,Pelvis,361,37.23103967,0.013572383,13572.38284,35.5162815,Pelvis Coil,34.64720074,34.4134061,4.21731049,49.5823496,31.71625658,32,23.86118709,-21.13526908,147.1907259,No Error
132,Elbow,166,44.04170641,0.017634057,17634.05699,45.88348092,Elbow Coil,34.852559,34.80310582,5.358656445,50.59557404,37.27632181,22,-32.20879878,-81.1681543,19.95727633,No Error
133,Abdomen,678,36.00776369,0.00795266,7952.659614,25.84139761,Abdomen Coil,34.64049399,34.51414846,2.951161213,51.83974114,35.85160554,21,-179.2345646,67.72229275,53.14889067,No Error
134,Hand,710,36.06535703,0.016024936,16024.93603,38.61252379,Hand Coil,34.25558266,34.71863086,4.942005917,59.63583408,33.90010167,69,-49.15720337,-155.2326025,95.05047622,No Error
135,Chest,690,39.1604531,0.013346956,13346.95599,37.31322342,Chest Coil,34.46405571,34.56869059,6.905681079,53.48557042,34.73270854,21,-117.9920553,-151.3280839,-148.887871,No Error
136,Hand,411,41.42729824,0.006388794,6388.793651,48.56790987,Hand Coil,35.13837655,35.51150155,5.326203998,57.64544172,37.11746429,41,99.00775618,-65.14191357,-4.096137828,No Error
137,Chest,655,41.13327663,0.012155115,12155.11525,49.56719247,Chest Coil,35.03240635,35.0245278,4.376013755,44.57965412,36.80740593,23,21.96183365,32.86841178,-72.38600948,No Error
138,Head,412,41.02693208,0.00544845,5448.450117,31.10803094,Head Coil,35.48982933,35.36504903,5.508435338,55.33316457,31.29329703,44,-90.9623663,-45.45092209,-33.91815538,No Error
139,Abdomen,638,39.50052095,0.005530674,5530.673507,20.91227494,Abdomen Coil,34.22862144,33.72932062,5.210744057,51.94006024,36.72909292,66,185.3163636,34.6658429,192.513989,No Error
140,Abdomen,652,38.32823916,0.006587518,6587.517599,45.71943553,Abdomen Coil,35.27701582,35.43285798,10.68549308,51.21210667,34.21698846,40,-192.0930231,75.18039183,10.22246403,111
141,Knee,372,44.83972072,0.012922968,12922.96849,30.32036252,Knee Coil,34.50266255,34.15858584,3.942021493,54.03331579,38.51073241,41,-184.1785374,-56.83140361,-177.9732085,No Error
142,Foot,264,41.00515675,0.014771467,14771.46689,48.51264418,Foot Coil,34.47423319,34.54387714,3.838744873,46.16776759,32.22649427,31,182.7770648,-47.29710617,-191.0009933,No Error
